"DESCRIPTION_RPA"|"CODE_RPA"
"RUE ST-PATRICK, BL. MONK FL.3 - DE LA VERENDRYE FL.2"|"GG-KW"
"TUNNEL ST-REMI FL.1-RUE ST-PAT. FL.2-RUE N.-D. FL.1,2.."|"GG-KY"
"TUNNEL ST-REMI FL.2 - DE LA VERENDRYE, VERDUN FL.1"|"GG-KZ"
"BL. MONK FL.1 - RUE NOTRE-DAME FL.3 - VERENDRYE FL.2"|"GG-LA"
"RUE ATWATER FL.3 - RUE WELLINGTON, RUE ST-PATRICK FL.1"|"GG-LC"
"RUE ATWATER FL.1 - RUE WELLINGTON, RUE ST-PATRICK FL.2"|"GG-LD"
"RUE LAFONTAINE-FL4,AV.PAPINEAU-FL4,PONT J.-CARTIER-FL5"|"GG-LF"
"TUNNEL ATWATER FL4, RUE CENTRE FL5, RUE ST-PATRICK FL1"|"GG-LG"
"FL.4, UPPER LACHINE, ST-JACQUES, DE MAISONNEUVE, FL.1"|"GH-F"
"BOUL. SAINT-JEAN-BAPTISTE  (PRE-SIGNAL NOM DE RUE)"|"GK-A"
"BOUL. M.-DUPLESSIS  -  OUEST FL. 3  -  EST FL. 2"|"GK-C"
"RUE ARTHUR-LEVEILLE  EST      * = FLECHE"|"GK-E-*"
"BOUL. A.-BOMBARDIER FL.2   -   BOUL. RAY-LAWSON FL.3"|"GK-H"
"BOUL. A.-BOMBARDIER FL.3   -   BOUL. RAY-LAWSON FL.2"|"GK-I"
"RODOLPHE-FORGET NORD  FL.2  (SUD FL.3  A VENIR)"|"GK-J"
"RODOLPHE-FORGET NORD  FL.3  (SUD FL.2  A VENIR)"|"GK-K"
"BOUL. R.-DES-PRAIRIES FL. 2   -   AV. BRODWAY NORD FL. 3"|"GK-L"
"BOUL. R.-DES-PRAIRIES FL. 3   -   AV. BRODWAY NORD FL. 2"|"GK-M"
"AV. MARIEN SUD   FLECHE 3   (NORD FL. 2  A VENIR)"|"GK-O"
"BOUL. ST-JEAN-BAPTISTE - SUD FL. 2 - NORD FL. 3"|"GK-P"
"BOUL. ST-JEAN-BAPTISTE - SUD FL. 3 - NORD FL. 2"|"GK-Q"
"BOUL. H.-BOURASSA  -  OUEST FL. 3  -  EST FL. 2"|"GK-S"
"AVENUE CHRISTOPHE-COLOMB    "|"GK-U-*"
"RUE SHERBROOKE  -  OUEST FLECHE 2  -  EST FLECHE 3"|"GK-V"
"RUE HOCHELAGA  -  OUEST FLECHE 2  -  EST FLECHE 3"|"GK-W"
"AV. NEWMAN - FLECHE 2, RUE JOLICOEUR - FLECHE 3"|"GK-Y"
"AVENUE CEDAR         * = FLECHE"|"GK-Z-*"
"FLECHE 1, BOUL. ROSEMONT, EST"|"GL-A"
"BOUL. ST-LAURENT, NORD, FLECHE 5"|"GL-B"
"ROUTE 40, EST FLECHE 22"|"GL-H"
"ROUTE 40, OUEST, FLECHE 22"|"GL-H-1"
"NORD, FLECHE 22"|"GL-I-1"
"BOUL. DE MAISONNEUVE  -  FLECHE"|"GL-R"
"CH. UPPER LACHINE ET RUE ST-JACQUES - FLECHES 1 "|"GL-S"
"RUE GUY     * = FLECHE"|"GL-T-*"
"RUE PHILIPPE-TURCOT     *=FLECHE"|"GL-V-*"
"RUE NOTRE-DAME EST - OUEST"|"GL-W"
"BOULEVARD ST-LAURENT AVEC FLECHE AU CHOIX"|"GL-X-*"
"RUE SAUVE OUEST"|"GL-Y"
"PARC HENRI-JULIEN AVEC FLECHE AU CHOIX"|"GL-Z-*"
"RUE CHABANEL, EST A GAUCHE, OUEST A DROITE"|"GM-B"
"RUE CHABANEL, OUEST A GAUCHE, EST A DROITE"|"GM-C"
"RUE LEGENDRE, EST A GAUCHE, OUEST A DROITE"|"GM-D"
"RUE LEGENDRE, OUEST A GAUCHE, EST A DROITE"|"GM-E"
"AV. DES PINS EST, FLECHE 15 - AVE DU PARC NORD, FLECHE 1 (1500x600)"|"GM-F"
"AV. DES PINS EST, FLECHE 5 - AVE DU PARC NORD, FLECHE 1 (1500x600)"|"GM-G"
"RUE HUTCHISON, FLECHE 5 (1500x300)"|"GM-H"
"AV. DES PINS OUEST, FLECHE 5 (1500x300)"|"GM-I"
"RUE ONTARIO *=FLECHE (1200x300)"|"GM-J"
"RUE ONTARIO, FLECHE 2 EST, OUIEST FLECHE 3 (1200x450)"|"GM-K"
"RUE ONTARIO O.   *=FLECHE"|"GM-L"
"RUE ONTARIO E.   *=FLECHE"|"GM-M"
"BOUL. H.-BOURASSA O. VIA BOUL. DE L'ACADIE"|"GM-N"
"AV. DE L'EGLISE, FLECHE 3"|"GM-O"
"AV. DE L'EGLISE, FLECHE 13"|"GM-Q"
"FLECHE 2, 5400 A 5450, FLECHE 3 - RUE LAURENDEAU"|"GM-R-*"
"10 025, BOUL. DE L'ACADIE, *=FLECHE"|"GM-T"
"FLECHE 1, AV. DES PINS, OUEST - AV. DU PARC, NORD, FL.5"|"GN-B"
"CLUB DE GOLF DE L'ILE DE MONTREAL"|"GO-50-B"
"CLUB DE GOLF DE L'ILE DE MONTREAL"|"GO-50-D"
"CLUB DE GOLF DE L'ILE DE MONTREAL"|"GO-50-E"
"CLUB DE GOLF DE L'ILE DE MONTREAL"|"GO-50-F"
"CLUB DE GOLF DE L'ILE DE MONTREAL"|"GO-50-G"
"ACHEMINEMENT PIETON RUE ST-ANTOINE"|"GP-B"
"ACHEMINEMENT PIETON BOUL. RENE-LEVESQUE"|"GP-C"
"ACHEMINEMENT PIETON AVE. DU PARC"|"GP-F"
"ACHEMINEMENT PIETON AVE. DES PINS EST"|"GP-G"
"ACHEMINEMENT PIETON AVE. DES PINS OUEST"|"GP-H"
"ACHEMINEMENT POUR FAUTEUIL ROULANT"|"GP-J-*"
"PANONCEAU  IMPASSE  (A UTILISER AVEC GP-J)"|"GP-K-*"
"ACHEMINEMENT PATIN A ROUES ALIGNEES    *=FLECHE"|"GP-M-*"
"ACHEMINEMENT PIETON AVENUE PAPINEAU"|"GP-O-*"
"ACHEMINEMENT PIETON RUE DANDURAND"|"GP-P-*"
"CUL-DE-SAC"|"GQ-A"
" CUL-DE-SAC (900 x 450)"|"GQ-A-10"
"CUL-DE-SAC      (AVEC FLECHE)"|"GQ-AB-*"
"RUE BARREE DETOUR ORANGE"|"GQ-B-01"
"RUE BARREE DETOUR ORANGE"|"GQ-B-02"
"RUE BARREE DETOUR ORANGE"|"GQ-B-03"
"DANGER PONT BARRE ORANGE"|"GQ-B-07"
"RUE PIETONNE 10h-17h SAM ET DIM 16 juil. au 4 sept."|"GQ-B-11"
"CLSC"|"GQ-C"
"ARRETEZ AU FEU ROUGE APRES VIRAGE"|"GQ-D"
"ATTENTION - NOUVELLE SYNCHRONISATION DES FEUX"|"GQ-E"
"VIRAGE PROTEGE AU CLIGNOTEMENT DU FEUX VERT"|"GQ-F"
"DEMI-TOUR AUTORISE"|"GQ-G"
"HOPITAL"|"GQ-H"
"FL. 2 - VILLE DE MTL - ENCAN"|"GQ-I"
"AVANCEZ PRUDEMMENT AU CLIGNOTEMENT DU FEU ROUGE"|"GQ-J"
"HOPITAL"|"GQ-K"
"HOPITAL"|"GQ-L"
"HOPITAL"|"GQ-M"
"FEUX SYNCHRONISES A 40 KM/H"|"GQ-N"
"FEU PRIORITAIRE BUS STM VOIE DE GAUCHE SEULEMENT (600x600)"|"GQ-Q"
"HOPITAL"|"GQ-S"
"HOPITAL"|"GQ-T"
"TERRASSE MAISONNEUVE, \P 09h-20h, LUN. AU VEN."|"GR-AA"
"PARKING"|"GS-A"
"PARKING"|"GS-A-01"
"PAYEZ ICI"|"GS-A-03"
"RAPPEL..."|"GS-A-06"
"STATIONNEMENT PAYANT..."|"GS-A-07"
"FL. 2 - P2"|"GS-A-10"
"P HOTEL DE VILLE, FLECHE A GAUCHE"|"GS-A-16"
"P HOTEL DE VILLE, FLECHE A DROITE"|"GS-A-17"
"PAYEZ ICI (POUR PANNEAU BORNE DE STATIONNEMENT)"|"GS-A-20"
"ATTENTION - SECTION DE RUES RESERVEES AUX RESIDENTS ..."|"GS-AA"
"PARKING - LOGO DE LA VILLE DE MONTREAL - NO. DU TERRAIN"|"GS-AB-*"
"ATTENTION - STATIONNEMENT PAYANT - NOUVELLE SIGNALISATION"|"GS-AC"
"ATTENTION RUE ETROITE (DENEGEMENT)"|"GS-AD"
"P RESER. CLIENT + DETENT. PERMIS RUE ETROITE"|"GS-AE"
"ATTENTION - TOUT VEHICULE STATIONNE ILLEGALEMENT SERA REMORQUE"|"GS-AH-1"
"P RESERVE DETENTEURS DE PERMIS 169150 CANADA"|"GS-AJ"
"P ARENA ET PARC SEULEMENT"|"GS-AO"
"PARKING"|"GS-B"
"PARKING"|"GS-C"
"FL. 2 - POSTE D'ATTENTE"|"GS-D-3"
"POSTE D'ATTENTE - FL. 3"|"GS-D-4"
"POSTE D'ATTENTE, FL. 1, SYMBOLE METRO"|"GS-D-5"
"ANNULE - REMPLACE PAR GT-***-*"|"GS-O"
"PARKING"|"GS-P"
"PARKING"|"GS-Q"
"SORTIE"|"GS-V"
"PARKING - NO. DU TERRAIN - FLECHE DE DIRECTION"|"GS-W-*"
"ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBIL., P, FL. 3"|"GS-Y-1"
"P, FL. 2, ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBILL."|"GS-Y-2"
"P, FL. 1, ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBILL."|"GS-Y-3"
"PARKING FLECHE AVANCEE A GAUCHE"|"GS-Z"
"Centre-ville"|"GT- 273-1 (9)"
"Information touristique"|"GT- 282-13(3)"
"Information touristique"|"GT- 283-1(3)"
"Vieux-Montréal -- Vieux-Port"|"GT- 285-1"
"Palais des Congrès"|"GT- 309-2"
"Place Bonaventure"|"GT- 319-13"
"Vieux-Montréal"|"GT- 802"
"Vieux-Montréal -- Vieux-Port"|"GT- 819-1(2)"
"Parc Jean-Drapeau"|"GT- 820-12(4)"
"Site Historique Maison St-Gabriel"|"GT- 844-3"
"Planétarium de Montreal"|"GT- 852"
"Centre de Commerce Mondial"|"GT- 858-13-2"
"Centre de Commerce Mondial"|"GT- 861-1-1"
"Centre Canadien d'Architecture"|"GT- 864-13"
"Planétarium de Montreal"|"GT- 880-3(1)"
"Hôtel de ville 1100 (picto voiture)"|"GT- 884-3"
"Hôtel de ville 1100 (picto voiture)"|"GT- 895-12"
"Basilique Notre-Dame"|"GT- 911-2"
"Palais des Congrès"|"GT- 915-1"
"Place Bonaventure"|"GT- 936-3"
"Casino de Montréal"|"GT- 944-2 (5)"
"Casino de Montréal"|"GT- 947-1 (3)"
"SIGN. TOURISTIQUE - POLES ET ATTRAITS (LISTE ANNEXE)"|"GT-***-*-1"
"Information touristique"|"GT-001-1(25)"
"Centre-ville"|"GT-002-1(25)"
"Information touristique"|"GT-003-4(20)"
"Information touristique"|"GT-019-1(19)"
"Information touristique"|"GT-025-1(12)"
"Centre-ville"|"GT-074-5( )!"
"Mont Royal -- Oratoire"|"GT-085-1(2)"
"Casino de Montréal"|"GT-1004-1(2)"
"Information touristique"|"GT-103-2 (1)"
"Information touristique"|"GT-106-1"
"Information touristique"|"GT-109-3!"
"Parc Jean-Drapeau"|"GT-1110-1(4)"
"Casino de Montréal"|"GT-1111-1(5)"
"Information touristique"|"GT-113-3"
"Information touristique"|"GT-114-2"
"Casino de Montréal"|"GT-1200-2(18)"
"Casino de Montréal"|"GT-1202-3(16)"
"Casino de Montréal"|"GT-1203-1(14)"
"La Ronde"|"GT-1220-2(11)"
"La Ronde"|"GT-1222-3(9)"
"La Ronde"|"GT-1223-1(7)"
"Ile Notre-Dame *"|"GT-1286-2(4)"
"Ile Notre-Dame *"|"GT-1289-1(2)"
"Croisières Navimex"|"GT-1302-2(1)"
"Croisières Navimex"|"GT-1303-3(1)"
"Croisières Navimex"|"GT-1306-13(1)"
"Ile Sainte-Hélène *"|"GT-1312-1(4)"
"Ile Notre-Dame *"|"GT-1331"
"Information touristique"|"GT-1339-2"
"Information touristique"|"GT-1340"
"Site historique Maison St-Gabriel"|"GT-138-3(2)"
"Site historique Maison St-Gabriel"|"GT-140-2"
"Hippodrome de Montréal"|"GT-1400-12"
"Hippodrome de Montréal"|"GT-1401-1"
"Hippodrome de Montréal"|"GT-1403-1"
"Site historique Maison St-Gabriel"|"GT-141-1(1)"
"Hippodrome de Montréal"|"GT-1410-1(1)"
"Ile Sainte-Hélène Sainte-Helene island"|"GT-1413"
"Biodôme de Montréal"|"GT-1423-12(2)"
"Jardin botanique"|"GT-1424-12(2)"
"Parc olympique"|"GT-1425-12(2)"
"Centre d'histoire de Montréal"|"GT-143-2"
"Centre-ville"|"GT-146-1(9)"
"Parc olympique"|"GT-1469-13(7)"
"Information touristique"|"GT-153-1(1)"
"Centre Molson"|"GT-2018-3"
"Centre Molson"|"GT-2019-1(3)"
"Centre Molson"|"GT-2024-1(1)"
"SITE HISTORIQUE MAISON ST-GABRIEL"|"GT-2033-13"
"Musée Pointe-à-Callière"|"GT-2039-12"
"Site historique Maison St-Gabriel"|"GT-2041-3"
"Site historique Maison St-Gabriel"|"GT-2042-3"
"DETOUR VERS OBSERVATOIRE"|"GT-2072-2(1)"
"OBSERVATOIRE"|"GT-2073-4(1)"
"DETOUR VERS OBSERVATOIRE"|"GT-2074-1(2)"
"SITE HISTORIQUE MAISON ST-GABRIEL"|"GT-2090-1"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2102-13"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2103-3"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2104-3"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2105-13"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2106-3"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2107-12"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2108-2"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2109-12"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2111-1"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2112-2"
"PARC DE L'ILE-DE-LA-VISITATION"|"GT-2113-1"
"PARC DE L'ILE DE LA VISITATION"|"GT-2122-2"
"PARC DE L'ILE DE LA VISITATION"|"GT-2123-1"
"PARC DE L'ILE DE LA VISITATION"|"GT-2124-3"
"Club de golf de l'Ile de Montréal"|"GT-2135-1(2,5)"
"Information touristique"|"GT-222-12(4)"
"Information touristique"|"GT-224-1(6)"
"Hôtel de ville"|"GT-239-3"
"Centre de Commerce Mondial"|"GT-329"
"Vieux-Port Quai King Edward"|"GT-340-2"
"Vieux-Montréal -- Vieux-Port"|"GT-347-12"
"Palais des Congrès"|"GT-349-12"
"Information touristique"|"GT-352-1(1)"
"Information touristique"|"GT-360-12"
"Centre-ville"|"GT-364-12(10)"
"Information touristique"|"GT-386-1(1)"
"Information touristique"|"GT-388-12(1)"
"Information touristique"|"GT-401-1(2)"
"Information touristique"|"GT-407-3"
"Centre-ville"|"GT-411-1(4)"
"Parc du Mont-Royal"|"GT-412-4"
"Mont Royal -- Oratoire"|"GT-418-14"
"Bienvenue Mont Royal"|"GT-419-12"
"Observatoire"|"GT-420-5"
"Centre de la montagne"|"GT-425-2"
"Lac aux Castors"|"GT-428-1"
"Centre-ville"|"GT-429-5(7)"
"Lac aux Castors"|"GT-430-14"
"Oratoire Saint-Joseph"|"GT-431-1"
"Centre-ville"|"GT-432-1"
"Belvédère"|"GT-433-3"
"Lac aux Castors"|"GT-434-3"
"Centre de la montagne"|"GT-438-3"
"Information touristique"|"GT-450-1"
"Information touristique"|"GT-452-3(1)"
"Mont Royal -- Oratoire"|"GT-456-15(2)"
"Centre-ville"|"GT-458-4(2)"
"Centre-ville"|"GT-459-4"
"Centre-ville"|"GT-460-5"
"Vieux-Port"|"GT-468-12"
"Centre de la montagne"|"GT-486-1"
"Belvédère"|"GT-487-1"
"Belvédère"|"GT-489-2"
"Centre-ville"|"GT-540-1(19)"
"Information touristique"|"GT-564-1(7)!"
"Parc Jean-Drapeau"|"GT-573-3(4)"
"Information touristique"|"GT-597-5(5)"
"Centre-ville"|"GT-598-5"
"Information touristique"|"GT-599-5"
"Site historique Maison St-Gabriel"|"GT-600-2"
"Site historique Maison St-Gabriel"|"GT-601-3"
"Site historique Maison St-Gabriel"|"GT-602-2"
"Site historique Maison St-Gabriel"|"GT-605-13(2)"
"Musée Pointe-à-Callière"|"GT-825-1(1)"
"Musée Pointe-à-Callière"|"GT-827-12(1)"
"Site historique Maison St-Gabriel"|"GT-975-3"
"Site historique Maison St-Gabriel"|"GT-976-1(3)"
"Site historique Maison St-Gabriel"|"GT-977-12(2)"
"Casino de Montréal"|"GT-990-5(4)"
"ANNULE - REMPLACE PAR GT-***-*"|"GT-A-10"
"PANONCEAU POUR PANNEAUX TOURISTIQUES"|"GT-B-10"
"PANONCEAU INFOTOURISTE CENTRE-VILLE"|"GT-D"
"PANONCEAU INFOTOURISTE VIEUX-MTL"|"GT-E-10"
"EGLISE NOTRE-DAME"|"GT-F-10"
"PISTE CYCLABLE - FL."|"GV-A-*"
"PISTE CYCLABLE - FIN"|"GV-AA"
"FL. 1 - P POUR VELO"|"GV-B-1"
"FL. 2 - P POUR VELO"|"GV-B-2"
"P POUR VELO GRATUIT"|"GV-B-3"
"ANNULE"|"GV-C"
"ACHEM. CENTRE COMMUNAUTAIRE MONKLAND"|"GV-CC"
"ACHEMINEMENT ""CIMETIERE"""|"GV-CI"
"VELO"|"GV-D"
"OBLIGATION DE DESCENDRE DE VELO"|"GV-E"
"VOIES PIETONS ET VELOS SEPARES"|"GV-EA"
"VOIES PIETONS ET VELOS SEPARES"|"GV-EB"
"ECO-CENTRE                      * = FLECHE"|"GV-EC-*"
"COMPLEXE ENVIRONNEMENTAL    (ST-MICHEL)"|"GV-ED-*"
"ECO-CENTRE ""U TURN"" 300 m"|"GV-EE"
"ECO-CENTRE ""U TURN"""|"GV-EF"
"ECO-CENTRE (VIRAGE A ANGLE)"|"GV-EG"
"COMPLEXE WILLIAM-HINGSTON"|"GV-EH-*"
"ECOCENTRE (*=FLECHE)"|"GV-EI-*"
"ECO-QUARTIER"|"GV-EQ-*"
"OBLIGATION DE DESCENDRE DU VELO SUR LES TROTTOIRS"|"GV-ET"
"OBLIGATION CALECHE"|"GV-F-*"
"FERME ANGRIGNON    (*=FLECHE)"|"GV-FA-*"
"ANNULE"|"GV-FP"
"INTERDICTION AU PIETON"|"GV-G"
"ACHEMINEMENT HOPITAL GENERAL JUIF"|"GV-HA-*"
"ACHEMINEMENT HOPITAL STE-JUSTINE"|"GV-HB-*"
"ACHEMINEMENT CENTRE HOSPITALIER DE ST MARY"|"GV-HC-*"
"ACHEMINEMENT HOPITAL DE MONTREAL POUR ENFANTS"|"GV-HE-*"
"ACHEMINEMENT HOPITAL GENERAL DE MONTREAL"|"GV-HG-*"
"ACHEMINEMENT HOPITAL HOTEL-DIEU DE MONTREAL"|"GV-HH-*"
"ACHEMINEMENT HOPITAL ROYAL VICTORIA"|"GV-HR-*"
"ACCES INTERDIT AUX AUTOMOBILES"|"GV-I"
"BALISE //"|"GV-KA"
"BALISE \\"|"GV-KB"
"DAMIER FIN DE PISTE CYCLABLE"|"GV-KC"
"DIRECTIONS POUR VELOS - PARC MAISONNEUVE"|"GV-LB-*"
"DIRECTIONS POUR VELOS - AXE RACHEL"|"GV-LC-*"
"DIRECTIONS POUR VELOS - PONT JACQUES-CARTIER"|"GV-LD-*"
"DIRECTIONS POUR VELOS - AXE SAINT-ZOTIQUE"|"GV-LE-*"
"DIRECTIONS POUR VELOS - AXE RENE-LEVESQUE"|"GV-LG-*"
"DIRECTIONS POUR VELOS - AXE CANAL DE LACHINE"|"GV-LH"
"DIRECTIONS POUR VELOS - AXE VIEUX PORT"|"GV-LI-*"
"VOIE CYCLABLE - AXE NORD/SUD - BERRI"|"GV-LK-*"
"VOIE CYCLABLE - MTL - LONGUEUIL - NAVETTE"|"GV-LL-*"
"DIRECTIONS POUR VELOS - AXE CHRISTOPHE-COLOMB"|"GV-LO-*"
"DIRECTION POUR VELOS - CANAL DE L'AQUEDUC"|"GV-LP-*"
"ACHEMINEMENT ""L'ACADIE GARDEZ LA DROITE"""|"GV-MB"
"ACHEMINEMENT ""MONTREAL, GARDEZ LA DROITE"""|"GV-MD"
"ACHEMINEMENT ""CASINO DE MONTREAL"" lettrage grade 1"|"GV-MG"
"BOUL. DE L`ACADIE NORD VIA BIRNAM ET PORT-ROYAL"|"GV-MM"
"TRAJET POUR NORD - QUADRILATERES- (UTILISER AVEC GV-MM)"|"GV-MN"
"NORD ET SUD VIA PAPINEAU  *=FLECHE"|"GV-MP-*"
"CENTRE-VILLE VIA ST-DENIS"|"GV-MQ"
"CENTRE-VILLE VIA ST-DENIS ET PAPINEAU"|"GV-MR"
"TRAJET POUR JARRY EST (QUADRILATERES)"|"GV-MU"
"DIRECTION NORD VIA ST-LAURENT"|"GV-MZ"
"CENTRE-VILLE VIA RUE ST-MARC"|"GV-ND-*"
"4e,5e,6e AVENUE SECTEUR INDUSTRIEL"|"GV-NE-*"
"NORD VIA  AVENUE DE LORIMIER"|"GV-NF-*"
"OUEST VIA RUE RACHEL"|"GV-NG-*"
"CASINO FLECHE 1  -  PARC JEAN-DRAPEAU FLECHE 5"|"GV-NI"
"AV. PAPINEAU DIRECTION SUD VIA CREMAZIE"|"GV-NJ-*"
"NORD VIA AVENUE DU PARC"|"GV-NK-*"
"TUNNEL L.-H.-LAFONTAINE GARDEZ LA DROITE"|"GV-NM"
"TUNNEL L.-H.-LAFONTAINE ET 25 SUD - FLECHE TOUT DROIT"|"GV-NN"
"NORD ET OUEST VIA BOUL. ST-LAURENT       * = fleche"|"GV-NO-*"
"PLAN DE DETOUR POUR SAUVÉ OUEST"|"GV-NQ"
"VOIE CYCLABLE - INTERDIT AUX AUTOS ET MOTOS"|"GV-O"
"PRE-SIGNAL PENTE RAIDE"|"GV-P"
"PRE-SIGNAL SORTIE AUTO VENANT DE LA GAUCHE"|"GV-PA"
"PRE-SIGNAL SORTIE AUTO VENANT DE LA DROITE"|"GV-PB"
"POLICE"|"GV-PD"
"ANNULE - REMPLACE PAR GT-***-*"|"GV-PO-*"
"PONT FL. 1"|"GV-PT-01"
"PONT FL. 2"|"GV-PT-02"
"PONT FL. 3"|"GV-PT-03"
"PONT FL. 5"|"GV-PT-05"
"LA MAISON DES CYCLISTES"|"GV-Q-*"
"LA MAISON DES CYCLISTES - DISTANCE 400 m"|"GV-QA-*"
"LA MAISON DES CYCLISTES - DISTANCE 500 m"|"GV-QB-*"
"LA MAISON DES CYCLISTES - DISTANCE 600 m"|"GV-QC-*"
"LA MAISON DES CYCLISTES - DISTANCE 1 km"|"GV-QE-*"
"PRE-SIGNAL RETRECISSEMENT GAUCHE"|"GV-R-02"
"PRE-SIGNAL RETRECISSEMENT"|"GV-R-03"
"PRE-SIGNAL PONT ETROIT"|"GV-R-04"
"PANNEAU ANNULE - REMPLACE PAR GA-GD AVEC PANONC. FLECHE"|"GV-RA-*"
"ARENA MAURICE-RICHARD"|"GV-RB"
"COMPLEXE RECREATIF GADBOIS"|"GV-RC"
"UNIVERSITE DE MONTREAL"|"GV-RD"
"AIRE D'ATTENTE             * = FLECHE"|"GV-RE-*"
"PANORAMA ROUTE..."|"GV-RP-*"
"CICLISTES - ACHEMINEMENT - DIRECTION RESEAU VERT"|"GV-RV-*"
"SECTEUR INDUSTRIEL FL. 1"|"GV-SI-1"
"SECTEUR INDUSTRIEL FL. 2"|"GV-SI-2"
"SECTEUR INDUSTRIEL FL. 3"|"GV-SI-3"
"TAXI"|"GV-TA-*"
"ACHEMINEMENT TAXI BOUL. ST-LAURENT  ___m   * = FLECHE"|"GV-TC-*"
"ACHEMINEMENT TAXI                   ___m   * = FLECHE"|"GV-TD-*"
"OBLIGATION CALECHE"|"GV-V-*"
"RUE PARE E. et O.            * = FLECHE"|"GV-VT-*"
"CYCLISTES (RESEAU VERT) - DIRECTION RUE CLARK"|"GV-WB-*"
"CYCLISTES (RESEAU VERT) - DIRECTION AV. DE LORIMIER"|"GV-WF-*"
"LA ROUTE VERTE  (VOIE CYCLABLE)"|"GV-X"
"LA ROUTE VERTE - MONTRÉAL (VIEUX-MONTREAL) - LONGUEUIL - REPENTIGNY"|"GV-XC"
"VELO - CENTRE VILLE - FLECHE"|"GV-XJ"
"SURVEILLANCE PAR RADAR PHOTO (1200x600)"|"GV-ZA"
"SURVEILLANCE PHOTOGRAPHIQUE AUX FEUX ROUGES (1200x600)"|"GV-ZB"
"SURVEILLANCE PHOTOGRAPHIQUE AUX FEUX ROUGES (1800x900)"|"GV-ZB-10"
"SURVEILLANCE PAR RADAR PHOTO SUR ____ KM (1800x900)"|"GV-ZC"
"PHOTO RADAR - VITESSE (600x900)"|"GV-ZD"
"PHOTO RADAR - VITESSE (900x1200)"|"GV-ZD-10"
"PHOTOGRAMÉTRIE - FEU ROUGE (600x900)"|"GV-ZE"
"Pont LACHAPELLE"|"GX-LA"
"Pont LE GARDEUR"|"GX-LE"
"Rivière DES PRAIRIES"|"GX-RDP"
"Pont VIAU"|"GX-VI"
"MONTREAL"|"GZ-A"
"DEBUT"|"HL-D"
"FIN"|"HL-F"
"PANONCEAU DE DIRECTION"|"HL-FG"
"PANONCEAU DE DIRECTION"|"HL-FH"
"PANONCEAU DE DIRECTION"|"HL-HD"
"PANONCEAU DE DIRECTION"|"HL-HG"
"BASILIQUE NOTRE-DAME"|"HT-BN"
"CENTRE D'HISTOIRE"|"HT-CH"
"CHAMP-DE-MARS"|"HT-CM"
"HOTEL DE VILLE"|"HT-HO"
"MARCHE BONSECOURS"|"HT-MB"
"MUSEE DU CHÂTEAU RAMEZAY"|"HT-MC"
"MUREE MARC-AURELE-FORTIN"|"HT-MM"
"POINTE-A-CALLIERE"|"HT-MP"
"MAISON ST-GEORGE-ETIENNE-CARTIER"|"HT-MS"
"PLACE D'ARMES"|"HT-PA"
"PLACE JACQUES-CARTIER"|"HT-PJ"
"PLACE ROYALE"|"HT-PR"
"PLACE D'YOUVILLE"|"HT-PY"
"SQUARE VICTORIA"|"HT-SV"
"CASINO DE MONTREAL"|"I5302AB"
"CLUB DE GOLF DE L'ILE DE MONTREAL"|"I5302AF"
"LA RONDE"|"I5302AH"
"PARC JEAN-DRAPEAU"|"I5302PD"
"BIODOME"|"I5303AA"
"CASINO DE MONTREAL"|"I5303AB"
"CENTRE BELL"|"I5303AC"
"CENTRE CANADIEN D'ARCHITECTURE"|"I5303AD"
"CLUB DE GOLF DE L'ILE DE MONTREAL"|"I5303AF"
"JARDIN BOTANIQUE"|"I5303AG"
"LA RONDE"|"I5303AH"
"MAISON SAINT-GABRIEL"|"I5303AI"
"MUSEE D'ART CONTEMPORAIN"|"I5303AJ"
"MUSEE DES BEAUX-ARTS"|"I5303AK"
"MUSEE MCCORD"|"I5303AL"
"ORATOIRE SAINT-JOSEPH"|"I5303AM"
"PARC OLYMPIQUE"|"I5303AN"
"PLACE DES ARTS"|"I5303AP"
"POINTE-A-CALLIERE"|"I5303AQ"
"CENTRE DE COMMERCE MONDIAL"|"I5303AR"
"STADE UNIPRIX"|"I5303AS"
"VIEUX-PORT"|"I5303AT"
"CHATEAU RAMEZAY"|"I5303AU"
"PLANETARIUM RIO TINTO ALCAN"|"I5303AV"
"INSECTARIUM"|"I5303AW"
"PLACE BONAVENTURE"|"I5303AY"
"MUSEE GREVIN"|"I5303AZ"
"CENTRE-VILLE"|"I5303PA"
"HOTEL DE VILLE"|"I5303PB"
"MONT ROYAL - ORATOIRE"|"I5303PC"
"PARC JEAN-DRAPEAU"|"I5303PD"
