"CODE_RPA","DESCRIPTION_RPA"
"GK-L","BOUL. R.-DES-PRAIRIES FL. 2   -   AV. BRODWAY NORD FL. 3"
"GK-M","BOUL. R.-DES-PRAIRIES FL. 3   -   AV. BRODWAY NORD FL. 2"
"GK-O","AV. MARIEN SUD   FLECHE 3   (NORD FL. 2  A VENIR)"
"GK-P","BOUL. ST-JEAN-BAPTISTE - SUD FL. 2 - NORD FL. 3"
"GK-Q","BOUL. ST-JEAN-BAPTISTE - SUD FL. 3 - NORD FL. 2"
"GK-S","BOUL. H.-BOURASSA  -  OUEST FL. 3  -  EST FL. 2"
"GK-U-*","AVENUE CHRISTOPHE-COLOMB    "
"GK-V","RUE SHERBROOKE  -  OUEST FLECHE 2  -  EST FLECHE 3"
"GK-W","RUE HOCHELAGA  -  OUEST FLECHE 2  -  EST FLECHE 3"
"GK-Y","AV. NEWMAN - FLECHE 2, RUE JOLICOEUR - FLECHE 3"
"GK-Z-*","AVENUE CEDAR         * = FLECHE"
"GL-A","FLECHE 1, BOUL. ROSEMONT, EST"
"GL-B","BOUL. ST-LAURENT, NORD, FLECHE 5"
"GL-H","ROUTE 40, EST FLECHE 22"
"GL-H-1","ROUTE 40, OUEST, FLECHE 22"
"GL-I-1","NORD, FLECHE 22"
"GL-R","BOUL. DE MAISONNEUVE  -  FLECHE"
"GL-S","CH. UPPER LACHINE ET RUE ST-JACQUES - FLECHES 1 "
"GL-T-*","RUE GUY     * = FLECHE"
"GL-V-*","RUE PHILIPPE-TURCOT     *=FLECHE"
"GL-W","RUE NOTRE-DAME EST - OUEST"
"GL-X-*","BOULEVARD ST-LAURENT AVEC FLECHE AU CHOIX"
"GL-Y","RUE SAUVE OUEST"
"GL-Z-*","PARC HENRI-JULIEN AVEC FLECHE AU CHOIX"
"GM-B","RUE CHABANEL, EST A GAUCHE, OUEST A DROITE"
"GM-C","RUE CHABANEL, OUEST A GAUCHE, EST A DROITE"
"GM-D","RUE LEGENDRE, EST A GAUCHE, OUEST A DROITE"
"GM-E","RUE LEGENDRE, OUEST A GAUCHE, EST A DROITE"
"GM-F","AV. DES PINS EST, FLECHE 15 - AVE DU PARC NORD, FLECHE 1 (1500x600)"
"GM-G","AV. DES PINS EST, FLECHE 5 - AVE DU PARC NORD, FLECHE 1 (1500x600)"
"GM-H","RUE HUTCHISON, FLECHE 5 (1500x300)"
"GM-I","AV. DES PINS OUEST, FLECHE 5 (1500x300)"
"GM-J","RUE ONTARIO *=FLECHE (1200x300)"
"GM-K","RUE ONTARIO, FLECHE 2 EST, OUIEST FLECHE 3 (1200x450)"
"GM-L","RUE ONTARIO O.   *=FLECHE"
"GM-M","RUE ONTARIO E.   *=FLECHE"
"GM-N","BOUL. H.-BOURASSA O. VIA BOUL. DE L'ACADIE"
"GM-O","AV. DE L'EGLISE, FLECHE 3"
"GM-Q","AV. DE L'EGLISE, FLECHE 13"
"GM-R-*","FLECHE 2, 5400 A 5450, FLECHE 3 - RUE LAURENDEAU"
"GM-T","10 025, BOUL. DE L'ACADIE, *=FLECHE"
"GN-B","FLECHE 1, AV. DES PINS, OUEST - AV. DU PARC, NORD, FL.5"
"GO-50-B","CLUB DE GOLF DE L'ILE DE MONTREAL"
"GO-50-D","CLUB DE GOLF DE L'ILE DE MONTREAL"
"GO-50-E","CLUB DE GOLF DE L'ILE DE MONTREAL"
"GO-50-F","CLUB DE GOLF DE L'ILE DE MONTREAL"
"GO-50-G","CLUB DE GOLF DE L'ILE DE MONTREAL"
"GP-B","ACHEMINEMENT PIETON RUE ST-ANTOINE"
"GP-C","ACHEMINEMENT PIETON BOUL. RENE-LEVESQUE"
"GP-F","ACHEMINEMENT PIETON AVE. DU PARC"
"GP-G","ACHEMINEMENT PIETON AVE. DES PINS EST"
"GP-H","ACHEMINEMENT PIETON AVE. DES PINS OUEST"
"GP-J-*","ACHEMINEMENT POUR FAUTEUIL ROULANT"
"GP-K-*","PANONCEAU  IMPASSE  (A UTILISER AVEC GP-J)"
"GP-M-*","ACHEMINEMENT PATIN A ROUES ALIGNEES    *=FLECHE"
"GP-O-*","ACHEMINEMENT PIETON AVENUE PAPINEAU"
"GP-P-*","ACHEMINEMENT PIETON RUE DANDURAND"
"GQ-A","CUL-DE-SAC"
"GQ-A-10"," CUL-DE-SAC (900 x 450)"
"GQ-AB-*","CUL-DE-SAC      (AVEC FLECHE)"
"GQ-B-01","RUE BARREE DETOUR ORANGE"
"GQ-B-02","RUE BARREE DETOUR ORANGE"
"GQ-B-03","RUE BARREE DETOUR ORANGE"
"GQ-B-07","DANGER PONT BARRE ORANGE"
"GQ-B-11","RUE PIETONNE 10h-17h SAM ET DIM 16 juil. au 4 sept."
"GQ-C","CLSC"
"GQ-D","ARRETEZ AU FEU ROUGE APRES VIRAGE"
"GQ-E","ATTENTION - NOUVELLE SYNCHRONISATION DES FEUX"
"GQ-F","VIRAGE PROTEGE AU CLIGNOTEMENT DU FEUX VERT"
"GQ-G","DEMI-TOUR AUTORISE"
"GQ-H","HOPITAL"
"GQ-I","FL. 2 - VILLE DE MTL - ENCAN"
"GQ-J","AVANCEZ PRUDEMMENT AU CLIGNOTEMENT DU FEU ROUGE"
"GQ-K","HOPITAL"
"GQ-L","HOPITAL"
"GQ-M","HOPITAL"
"GQ-N","FEUX SYNCHRONISES A 40 KM/H"
"GQ-Q","FEU PRIORITAIRE BUS STM VOIE DE GAUCHE SEULEMENT (600x600)"
"GQ-S","HOPITAL"
"GQ-T","HOPITAL"
"GR-AA","TERRASSE MAISONNEUVE, \P 09h-20h, LUN. AU VEN."
"GS-A","PARKING"
"GS-A-01","PARKING"
"GS-A-03","PAYEZ ICI"
"GS-A-06","RAPPEL..."
"GS-A-07","STATIONNEMENT PAYANT..."
"GS-A-10","FL. 2 - P2"
"GS-A-16","P HOTEL DE VILLE, FLECHE A GAUCHE"
"GS-A-17","P HOTEL DE VILLE, FLECHE A DROITE"
"GS-A-20","PAYEZ ICI (POUR PANNEAU BORNE DE STATIONNEMENT)"
"GS-AA","ATTENTION - SECTION DE RUES RESERVEES AUX RESIDENTS ..."
"GS-AB-*","PARKING - LOGO DE LA VILLE DE MONTREAL - NO. DU TERRAIN"
"GS-AC","ATTENTION - STATIONNEMENT PAYANT - NOUVELLE SIGNALISATION"
"GS-AD","ATTENTION RUE ETROITE (DENEGEMENT)"
"GS-AE","P RESER. CLIENT + DETENT. PERMIS RUE ETROITE"
"GS-AH-1","ATTENTION - TOUT VEHICULE STATIONNE ILLEGALEMENT SERA REMORQUE"
"GS-AJ","P RESERVE DETENTEURS DE PERMIS 169150 CANADA"
"GS-AO","P ARENA ET PARC SEULEMENT"
"GS-B","PARKING"
"GS-C","PARKING"
"GS-D-3","FL. 2 - POSTE D'ATTENTE"
"GS-D-4","POSTE D'ATTENTE - FL. 3"
"GS-D-5","POSTE D'ATTENTE, FL. 1, SYMBOLE METRO"
"GS-O","ANNULE - REMPLACE PAR GT-***-*"
"GS-P","PARKING"
"GS-Q","PARKING"
"GS-V","SORTIE"
"GS-W-*","PARKING - NO. DU TERRAIN - FLECHE DE DIRECTION"
"GS-Y-1","ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBIL., P, FL. 3"
"GS-Y-2","P, FL. 2, ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBILL."
"GS-Y-3","P, FL. 1, ARENA MICHEL-NORMANDIN, CENTRE CLAUDE-ROBILL."
"GS-Z","PARKING FLECHE AVANCEE A GAUCHE"
"GT- 273-1 (9)","Centre-ville"
"GT- 282-13(3)","Information touristique"
"GT- 283-1(3)","Information touristique"
"GT- 285-1","Vieux-Montréal -- Vieux-Port"
"GT- 309-2","Palais des Congrès"
"GT- 319-13","Place Bonaventure"
"GT- 802","Vieux-Montréal"
"GT- 819-1(2)","Vieux-Montréal -- Vieux-Port"
"GT- 820-12(4)","Parc Jean-Drapeau"
"GT- 844-3","Site Historique Maison St-Gabriel"
"GT- 852","Planétarium de Montreal"
"GT- 858-13-2","Centre de Commerce Mondial"
"GT- 861-1-1","Centre de Commerce Mondial"
"GT- 864-13","Centre Canadien d'Architecture"
"GT- 880-3(1)","Planétarium de Montreal"
"GT- 884-3","Hôtel de ville 1100 (picto voiture)"
"GT- 895-12","Hôtel de ville 1100 (picto voiture)"
"GT- 911-2","Basilique Notre-Dame"
"GT- 915-1","Palais des Congrès"
"GT- 936-3","Place Bonaventure"
"GT- 944-2 (5)","Casino de Montréal"
"GT- 947-1 (3)","Casino de Montréal"
"GT-***-*-1","SIGN. TOURISTIQUE - POLES ET ATTRAITS (LISTE ANNEXE)"
"GT-001-1(25)","Information touristique"
"GT-002-1(25)","Centre-ville"
"GT-003-4(20)","Information touristique"
"GT-019-1(19)","Information touristique"
"GT-025-1(12)","Information touristique"
"GT-074-5( )!","Centre-ville"
"GT-085-1(2)","Mont Royal -- Oratoire"
"GT-1004-1(2)","Casino de Montréal"
"GT-103-2 (1)","Information touristique"
"GT-106-1","Information touristique"
"GT-109-3!","Information touristique"
"GT-1110-1(4)","Parc Jean-Drapeau"
"GT-1111-1(5)","Casino de Montréal"
"GT-113-3","Information touristique"
"GT-114-2","Information touristique"
"GT-1200-2(18)","Casino de Montréal"
"GT-1202-3(16)","Casino de Montréal"
"GT-1203-1(14)","Casino de Montréal"
"GT-1220-2(11)","La Ronde"
"GT-1222-3(9)","La Ronde"
"GT-1223-1(7)","La Ronde"
"GT-1286-2(4)","Ile Notre-Dame *"
"GT-1289-1(2)","Ile Notre-Dame *"
"GT-1302-2(1)","Croisières Navimex"
"GT-1303-3(1)","Croisières Navimex"
"GT-1306-13(1)","Croisières Navimex"
"GT-1312-1(4)","Ile Sainte-Hélène *"
"GT-1331","Ile Notre-Dame *"
"GT-1339-2","Information touristique"
"GT-1340","Information touristique"
"GT-138-3(2)","Site historique Maison St-Gabriel"
"GT-140-2","Site historique Maison St-Gabriel"
"GT-1400-12","Hippodrome de Montréal"
"GT-1401-1","Hippodrome de Montréal"
"GT-1403-1","Hippodrome de Montréal"
"GT-141-1(1)","Site historique Maison St-Gabriel"
"GT-1410-1(1)","Hippodrome de Montréal"
"GT-1413","Ile Sainte-Hélène Sainte-Helene island"
"GT-1423-12(2)","Biodôme de Montréal"
"GT-1424-12(2)","Jardin botanique"
"GT-1425-12(2)","Parc olympique"
"GT-143-2","Centre d'histoire de Montréal"
"GT-146-1(9)","Centre-ville"
"GT-1469-13(7)","Parc olympique"
"GT-153-1(1)","Information touristique"
"GT-2018-3","Centre Molson"
"GT-2019-1(3)","Centre Molson"
"GT-2024-1(1)","Centre Molson"
"GT-2033-13","SITE HISTORIQUE MAISON ST-GABRIEL"
"GT-2039-12","Musée Pointe-à-Callière"
"GT-2041-3","Site historique Maison St-Gabriel"
"GT-2042-3","Site historique Maison St-Gabriel"
"GT-2072-2(1)","DETOUR VERS OBSERVATOIRE"
"GT-2073-4(1)","OBSERVATOIRE"
"GT-2074-1(2)","DETOUR VERS OBSERVATOIRE"
"GT-2090-1","SITE HISTORIQUE MAISON ST-GABRIEL"
"GT-2102-13","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2103-3","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2104-3","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2105-13","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2106-3","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2107-12","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2108-2","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2109-12","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2111-1","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2112-2","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2113-1","PARC DE L'ILE-DE-LA-VISITATION"
"GT-2122-2","PARC DE L'ILE DE LA VISITATION"
"GT-2123-1","PARC DE L'ILE DE LA VISITATION"
"GT-2124-3","PARC DE L'ILE DE LA VISITATION"
"GT-2135-1(2,5)","Club de golf de l'Ile de Montréal"
"GT-222-12(4)","Information touristique"
"GT-224-1(6)","Information touristique"
"GT-239-3","Hôtel de ville"
"GT-329","Centre de Commerce Mondial"
"GT-340-2","Vieux-Port Quai King Edward"
"GT-347-12","Vieux-Montréal -- Vieux-Port"
"GT-349-12","Palais des Congrès"
"GT-352-1(1)","Information touristique"
"GT-360-12","Information touristique"
"GT-364-12(10)","Centre-ville"
"GT-386-1(1)","Information touristique"
"GT-388-12(1)","Information touristique"
"GT-401-1(2)","Information touristique"
"GT-407-3","Information touristique"
"GT-411-1(4)","Centre-ville"
"GT-412-4","Parc du Mont-Royal"
"GT-418-14","Mont Royal -- Oratoire"
"GT-419-12","Bienvenue Mont Royal"
"GT-420-5","Observatoire"
"GT-425-2","Centre de la montagne"
"GT-428-1","Lac aux Castors"
"GT-429-5(7)","Centre-ville"
"GT-430-14","Lac aux Castors"
"GT-431-1","Oratoire Saint-Joseph"
"GT-432-1","Centre-ville"
"GT-433-3","Belvédère"
"GT-434-3","Lac aux Castors"
"GT-438-3","Centre de la montagne"
"GT-450-1","Information touristique"
"GT-452-3(1)","Information touristique"
"GT-456-15(2)","Mont Royal -- Oratoire"
"GT-458-4(2)","Centre-ville"
"GT-459-4","Centre-ville"
"GT-460-5","Centre-ville"
"GT-468-12","Vieux-Port"
"GT-486-1","Centre de la montagne"
"GT-487-1","Belvédère"
"GT-489-2","Belvédère"
"GT-540-1(19)","Centre-ville"
"GT-564-1(7)!","Information touristique"
"GT-573-3(4)","Parc Jean-Drapeau"
"GT-597-5(5)","Information touristique"
"GT-598-5","Centre-ville"
"GT-599-5","Information touristique"
"GT-600-2","Site historique Maison St-Gabriel"
"GT-601-3","Site historique Maison St-Gabriel"
"GT-602-2","Site historique Maison St-Gabriel"
"GT-605-13(2)","Site historique Maison St-Gabriel"
"GT-825-1(1)","Musée Pointe-à-Callière"
"GT-827-12(1)","Musée Pointe-à-Callière"
"GT-975-3","Site historique Maison St-Gabriel"
"GT-976-1(3)","Site historique Maison St-Gabriel"
"GT-977-12(2)","Site historique Maison St-Gabriel"
"GT-990-5(4)","Casino de Montréal"
"GT-A-10","ANNULE - REMPLACE PAR GT-***-*"
"GT-B-10","PANONCEAU POUR PANNEAUX TOURISTIQUES"
"GT-D","PANONCEAU INFOTOURISTE CENTRE-VILLE"
"GT-E-10","PANONCEAU INFOTOURISTE VIEUX-MTL"
"GT-F-10","EGLISE NOTRE-DAME"
"GV-A-*","PISTE CYCLABLE - FL."
"GV-AA","PISTE CYCLABLE - FIN"
"GV-B-1","FL. 1 - P POUR VELO"
"GV-B-2","FL. 2 - P POUR VELO"
"GV-B-3","P POUR VELO GRATUIT"
"GV-C","ANNULE"
"GV-CC","ACHEM. CENTRE COMMUNAUTAIRE MONKLAND"
"GV-CI","ACHEMINEMENT ""CIMETIERE"""
"GV-D","VELO"
"GV-E","OBLIGATION DE DESCENDRE DE VELO"
"GV-EA","VOIES PIETONS ET VELOS SEPARES"
"GV-EB","VOIES PIETONS ET VELOS SEPARES"
"GV-EC-*","ECO-CENTRE                      * = FLECHE"
"GV-ED-*","COMPLEXE ENVIRONNEMENTAL    (ST-MICHEL)"
"GV-EE","ECO-CENTRE ""U TURN"" 300 m"
"GV-EF","ECO-CENTRE ""U TURN"""
"GV-EG","ECO-CENTRE (VIRAGE A ANGLE)"
"GV-EH-*","COMPLEXE WILLIAM-HINGSTON"
"GV-EI-*","ECOCENTRE (*=FLECHE)"
"GV-EQ-*","ECO-QUARTIER"
"GV-ET","OBLIGATION DE DESCENDRE DU VELO SUR LES TROTTOIRS"
"GV-F-*","OBLIGATION CALECHE"
"GV-FA-*","FERME ANGRIGNON    (*=FLECHE)"
"GV-FP","ANNULE"
"GV-G","INTERDICTION AU PIETON"
"GV-HA-*","ACHEMINEMENT HOPITAL GENERAL JUIF"
"GV-HB-*","ACHEMINEMENT HOPITAL STE-JUSTINE"
"GV-HC-*","ACHEMINEMENT CENTRE HOSPITALIER DE ST MARY"
"GV-HE-*","ACHEMINEMENT HOPITAL DE MONTREAL POUR ENFANTS"
"GV-HG-*","ACHEMINEMENT HOPITAL GENERAL DE MONTREAL"
"GV-HH-*","ACHEMINEMENT HOPITAL HOTEL-DIEU DE MONTREAL"
"GV-HR-*","ACHEMINEMENT HOPITAL ROYAL VICTORIA"
"GV-I","ACCES INTERDIT AUX AUTOMOBILES"
"GV-KA","BALISE //"
"GV-KB","BALISE \\"
"GV-KC","DAMIER FIN DE PISTE CYCLABLE"
"GV-LB-*","DIRECTIONS POUR VELOS - PARC MAISONNEUVE"
"GV-LC-*","DIRECTIONS POUR VELOS - AXE RACHEL"
"GV-LD-*","DIRECTIONS POUR VELOS - PONT JACQUES-CARTIER"
"GV-LE-*","DIRECTIONS POUR VELOS - AXE SAINT-ZOTIQUE"
"GV-LG-*","DIRECTIONS POUR VELOS - AXE RENE-LEVESQUE"
"GV-LH","DIRECTIONS POUR VELOS - AXE CANAL DE LACHINE"
"GV-LI-*","DIRECTIONS POUR VELOS - AXE VIEUX PORT"
"GV-LK-*","VOIE CYCLABLE - AXE NORD/SUD - BERRI"
"GV-LL-*","VOIE CYCLABLE - MTL - LONGUEUIL - NAVETTE"
"GV-LO-*","DIRECTIONS POUR VELOS - AXE CHRISTOPHE-COLOMB"
"GV-LP-*","DIRECTION POUR VELOS - CANAL DE L'AQUEDUC"
"GV-MB","ACHEMINEMENT ""L'ACADIE GARDEZ LA DROITE"""
"GV-MD","ACHEMINEMENT ""MONTREAL, GARDEZ LA DROITE"""
"GV-MG","ACHEMINEMENT ""CASINO DE MONTREAL"" lettrage grade 1"
"GV-MM","BOUL. DE L`ACADIE NORD VIA BIRNAM ET PORT-ROYAL"
"GV-MN","TRAJET POUR NORD - QUADRILATERES- (UTILISER AVEC GV-MM)"
"GV-MP-*","NORD ET SUD VIA PAPINEAU  *=FLECHE"
"GV-MQ","CENTRE-VILLE VIA ST-DENIS"
"GV-MR","CENTRE-VILLE VIA ST-DENIS ET PAPINEAU"
"GV-MU","TRAJET POUR JARRY EST (QUADRILATERES)"
"GV-MZ","DIRECTION NORD VIA ST-LAURENT"
"GV-ND-*","CENTRE-VILLE VIA RUE ST-MARC"
"GV-NE-*","4e,5e,6e AVENUE SECTEUR INDUSTRIEL"
"GV-NF-*","NORD VIA  AVENUE DE LORIMIER"
"GV-NG-*","OUEST VIA RUE RACHEL"
"GV-NI","CASINO FLECHE 1  -  PARC JEAN-DRAPEAU FLECHE 5"
"GV-NJ-*","AV. PAPINEAU DIRECTION SUD VIA CREMAZIE"
"GV-NK-*","NORD VIA AVENUE DU PARC"
"GV-NM","TUNNEL L.-H.-LAFONTAINE GARDEZ LA DROITE"
"GV-NN","TUNNEL L.-H.-LAFONTAINE ET 25 SUD - FLECHE TOUT DROIT"
"GV-NO-*","NORD ET OUEST VIA BOUL. ST-LAURENT       * = fleche"
"GV-NQ","PLAN DE DETOUR POUR SAUVÉ OUEST"
"GV-O","VOIE CYCLABLE - INTERDIT AUX AUTOS ET MOTOS"
"GV-P","PRE-SIGNAL PENTE RAIDE"
"GV-PA","PRE-SIGNAL SORTIE AUTO VENANT DE LA GAUCHE"
"GV-PB","PRE-SIGNAL SORTIE AUTO VENANT DE LA DROITE"
"GV-PD","POLICE"
"GV-PO-*","ANNULE - REMPLACE PAR GT-***-*"
"GV-PT-01","PONT FL. 1"
"GV-PT-02","PONT FL. 2"
"GV-PT-03","PONT FL. 3"
"GV-PT-05","PONT FL. 5"
"GV-Q-*","LA MAISON DES CYCLISTES"
"GV-QA-*","LA MAISON DES CYCLISTES - DISTANCE 400 m"
"GV-QB-*","LA MAISON DES CYCLISTES - DISTANCE 500 m"
"GV-QC-*","LA MAISON DES CYCLISTES - DISTANCE 600 m"
"GV-QE-*","LA MAISON DES CYCLISTES - DISTANCE 1 km"
"GV-R-02","PRE-SIGNAL RETRECISSEMENT GAUCHE"
"GV-R-03","PRE-SIGNAL RETRECISSEMENT"
"GV-R-04","PRE-SIGNAL PONT ETROIT"
"GV-RA-*","PANNEAU ANNULE - REMPLACE PAR GA-GD AVEC PANONC. FLECHE"
"GV-RB","ARENA MAURICE-RICHARD"
"GV-RC","COMPLEXE RECREATIF GADBOIS"
"GV-RD","UNIVERSITE DE MONTREAL"
"GV-RE-*","AIRE D'ATTENTE             * = FLECHE"
"GV-RP-*","PANORAMA ROUTE..."
"GV-RV-*","CICLISTES - ACHEMINEMENT - DIRECTION RESEAU VERT"
"GV-SI-1","SECTEUR INDUSTRIEL FL. 1"
"GV-SI-2","SECTEUR INDUSTRIEL FL. 2"
"GV-SI-3","SECTEUR INDUSTRIEL FL. 3"
"GV-TA-*","TAXI"
"GV-TC-*","ACHEMINEMENT TAXI BOUL. ST-LAURENT  ___m   * = FLECHE"
"GV-TD-*","ACHEMINEMENT TAXI                   ___m   * = FLECHE"
"GV-V-*","OBLIGATION CALECHE"
"GV-VT-*","RUE PARE E. et O.            * = FLECHE"
"GV-WB-*","CYCLISTES (RESEAU VERT) - DIRECTION RUE CLARK"
"GV-WF-*","CYCLISTES (RESEAU VERT) - DIRECTION AV. DE LORIMIER"
"GV-X","LA ROUTE VERTE  (VOIE CYCLABLE)"
"GV-XC","LA ROUTE VERTE - MONTRÉAL (VIEUX-MONTREAL) - LONGUEUIL - REPENTIGNY"
"GV-XJ","VELO - CENTRE VILLE - FLECHE"
"GV-ZA","SURVEILLANCE PAR RADAR PHOTO (1200x600)"
"GV-ZB","SURVEILLANCE PHOTOGRAPHIQUE AUX FEUX ROUGES (1200x600)"
"GV-ZB-10","SURVEILLANCE PHOTOGRAPHIQUE AUX FEUX ROUGES (1800x900)"
"GV-ZC","SURVEILLANCE PAR RADAR PHOTO SUR ____ KM (1800x900)"
"GV-ZD","PHOTO RADAR - VITESSE (600x900)"
"GV-ZD-10","PHOTO RADAR - VITESSE (900x1200)"
"GV-ZE","PHOTOGRAMÉTRIE - FEU ROUGE (600x900)"
"GX-LA","Pont LACHAPELLE"
"GX-LE","Pont LE GARDEUR"
"GX-RDP","Rivière DES PRAIRIES"
"GX-VI","Pont VIAU"
"GZ-A","MONTREAL"
"HL-D","DEBUT"
"HL-F","FIN"
"HL-FG","PANONCEAU DE DIRECTION"
"HL-FH","PANONCEAU DE DIRECTION"
"HL-HD","PANONCEAU DE DIRECTION"
"HL-HG","PANONCEAU DE DIRECTION"
"HT-BN","BASILIQUE NOTRE-DAME"
"HT-CH","CENTRE D'HISTOIRE"
"HT-CM","CHAMP-DE-MARS"
"HT-HO","HOTEL DE VILLE"
"HT-MB","MARCHE BONSECOURS"
"HT-MC","MUSEE DU CHÂTEAU RAMEZAY"
"HT-MM","MUREE MARC-AURELE-FORTIN"
"HT-MP","POINTE-A-CALLIERE"
"HT-MS","MAISON ST-GEORGE-ETIENNE-CARTIER"
"HT-PA","PLACE D'ARMES"
"HT-PJ","PLACE JACQUES-CARTIER"
"HT-PR","PLACE ROYALE"
"HT-PY","PLACE D'YOUVILLE"
"HT-SV","SQUARE VICTORIA"
"I5302AB","CASINO DE MONTREAL"
"I5302AF","CLUB DE GOLF DE L'ILE DE MONTREAL"
"I5302AH","LA RONDE"
"I5302PD","PARC JEAN-DRAPEAU"
"I5303AA","BIODOME"
"I5303AB","CASINO DE MONTREAL"
"I5303AC","CENTRE BELL"
"I5303AD","CENTRE CANADIEN D'ARCHITECTURE"
"I5303AF","CLUB DE GOLF DE L'ILE DE MONTREAL"
"I5303AG","JARDIN BOTANIQUE"
"I5303AH","LA RONDE"
"I5303AI","MAISON SAINT-GABRIEL"
"I5303AJ","MUSEE D'ART CONTEMPORAIN"
"I5303AK","MUSEE DES BEAUX-ARTS"
"I5303AL","MUSEE MCCORD"
"I5303AM","ORATOIRE SAINT-JOSEPH"
"I5303AN","PARC OLYMPIQUE"
"I5303AP","PLACE DES ARTS"
"I5303AQ","POINTE-A-CALLIERE"
"I5303AR","CENTRE DE COMMERCE MONDIAL"
"I5303AS","STADE UNIPRIX"
"I5303AT","VIEUX-PORT"
"I5303AU","CHATEAU RAMEZAY"
"I5303AV","PLANETARIUM RIO TINTO ALCAN"
"I5303AW","INSECTARIUM"
"I5303AY","PLACE BONAVENTURE"
"I5303AZ","MUSEE GREVIN"
"I5303PA","CENTRE-VILLE"
"I5303PB","HOTEL DE VILLE"
"I5303PC","MONT ROYAL - ORATOIRE"
"I5303PD","PARC JEAN-DRAPEAU"
"I5303PE","PARC DU MONT-ROYAL"
"I5303PF","QUARTIER DES SPECTACLES"
"I5303PG","VIEUX-MONTREAL"
"I5303PH","CANAL DE LACHINE - ATWATER"
"I5303PK","BERGES DE VERDUN"
"I5303PL","DETOUR BELVEDERE CAMILLIEN-HOUDE"
"I5303PM","BELVEDERE CAMILLIEN-HOUDE"
"I5304AC","CENTRE BELL"
"I5304AD","CENTRE CANADIEN D'ARCHITECTURE"
"I5304AE","CENTRE INFOTOURISTE"
"I5304AJ","MUSEE D'ART CONTEMPORAIN"
"I5304AK","MUSEE DES BEAUX-ARTS"
"I5304AL","MUSEE MCCORD"
"I5304AQ","POINTE-A-CALLIERE"
"I5304AR","CENTRE DE COMMERCE MONDIAL"
"I5304AS","STADE UNIPRIX"
"I5304AU","CHATEAU RAMEZAY"
"I5304AZ","MUSEE GREVIN"
"I5304PB","HOTEL DE VILLE"
"I5304PC","MONT ROYAL - ORATOIRE"
"I5304PF","QUARTIER DES SPECTACLES"
"I5304PG","VIEUX-MONTREAL"
"I5304PH","CANAL DE LACHINE - ATWATER"
"JCT-B","PANONCEAU BLEU JCT (JONCTION)"
"JCT-V","PANONCEAU VERT JCT (JONCTION)"
"LAC-16","P 2H"
"LAC-17","P 2H - 8H @ 18H LUN AU VEN"
"LAC-18","P 60 MIN"
"LAC-2","\ARRÊT INTERDIT"
"LAC-20","P 30 MIN - 9H @ 16H LUN AU SAM"
"LAC-21","P 60 MIN - 9H @ 18H LUN AU SAM"
"LAC-22","P 30 MIN - POSTE DE POLICE"
"LAC-23","P 10 MIN - 7H @ 8H - 15H @ 16H LUN AU VEN"
"LAC-24","DÉBARCADÈRE"
"LAC-25","DÉBARCADÈRE 15 MIN 7H @ 9H"
"LAC-26","P RÉSERVÉ AUX VISITEURS DE L'ÉGLISE - DIMANCHE 10H @14H"
"LAC-27","P RÉSERVÉ EN TOUT TEMPS DÉTENTEURS DE PERMIS #"
"LAC-28","P RÉSERVÉ LUN AU VEN 18 @ 8H ET SAM-DIM DÉTENTEURS DE PERMIS #11"
"LAC-29","P RÉSERVÉ SEULEMENT DÉTENTEURS DE PERMIS #"
"LAC-3","\ARRÊT INTERDIT (FLÈCHE)"
"LAC-30","P 2H - 9H @ 16H EXCEPTÉ MARDI"
"LAC-33","\P 8H @ 17H LUN-MER-VEN"
"LAC-34","\P 8H @ 17H MARDI-JEUDI"
"LAC-35","\P 9H @ 16H MARDI"
"LAC-36","\P 9H @ 16H JEUDI"
"LAC-37","\P DÉBARCADÈRE LUNDI AU VENDREDI 7H @ 17H"
"LAC-38","\P 6H @ 12H LUN AU VEN"
"LAC-39","\P 9H @ 17H LUN AU VEN"
"LAC-4","\ARRÊT INTERDIT (HEURE)"
"LAC-40","\P 7H @ 9H LUNDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-41","\P 9H @ 12H LUNDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-42","\P 9H @ 16H LUNDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-43","\P 7H @ 9H MARDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-44","\P 9H @ 16H MARDI 1 AVRIL AU 15 NOVEMBRE"
"LAC-45","\P 7H @ 9H MERCREDI 1 AVRIL AU 15 NOVEMBRE"
